Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NC_000959	NC_000959.1	Deinococcus radiodurans R1 plasmid CP1, complete sequence	CP1	Deinococcus radiodurans R1	Deinococcus radiodurans	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria	NA	NA	NA	NA	45704	0.561483	NA	NA	NA	NA
NC_001272	NC_001272.2	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB9741, complete sequence	pBMB9741	Bacillus thuringiensis serovar kurstaki str. YBT-1520	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	6578	0.323655	NA	MOBV	2	NA
NC_001275	NC_001275.1	Acetobacter aceti plasmid pAC5, complete sequence	pAC5	Acetobacter aceti	Acetobacter aceti	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	cryptic plasmid	5123	0.558657	NA	NA	NA	NA
NC_001277	NC_001277.1	Pediococcus pentosaceus ATCC43200 plasmid pMD136, complete sequence	pMD136	Pediococcus pentosaceus	Pediococcus pentosaceus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	19515	0.34102	NA	NA	NA	NA
NC_001315	NC_001315.1	Moraxella sp. TA144 plasmid pTA144 Up, complete sequence	pTA144 Up	Moraxella sp. TA144	Moraxella sp. TA144	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1921	0.406039	NA	NA	NA	NA
NC_001316	NC_001316.1	Moraxella sp. TA144 plasmid pTA144 Dw, complete sequence	pTA144 Dw	Moraxella sp. TA144	Moraxella sp. TA144	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1313	0.461538	NA	NA	NA	NA
NC_001370	NC_001370.1	Lactobacillus plantarum plasmid pC30il, complete sequence	pC30il	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2140	0.369626	NA	NA	3	NC_011497_position:262-1215
NC_001371	NC_001371.1	Escherichia coli plasmid ColE1, complete sequence	ColE1	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	6646	0.484351	NA	NA	4	NC_001371_position:4443-4880|NZ_CP018949_position:8571-8909
NC_001372	NC_001372.1	Chlamydia trachomatis plasmid pCHL1, complete sequence	pCHL1	Chlamydia trachomatis	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	NA	NA	NA	NA	7502	0.362303	NA	NA	5	NA
NC_001373	NC_001373.1	Escherichia coli strain GM31 plasmid ColA, complete sequence	ColA	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	6720	0.503869	NA	NA	NA	NA
NC_001376	NC_001376.1	Bacillus subtilis plasmid pIM13, complete sequence	pIM13	Bacillus subtilis	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2246	0.311665	rep10	NA	6	NA
NC_001377	NC_001377.1	Neisseria gonorrhoeae strain UM01 plasmid pJD1, complete sequence	pJD1	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	4207	0.515332	NA	NA	7	NC_001377_position:44-295
NC_001378	NC_001378.1	Shigella sonnei plasmid pKYM, complete sequence	pKYM	Shigella sonnei	Shigella sonnei	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	2083	0.470955	Col(BS512)	NA	8	NA
NC_001379	NC_001379.1	Lactobacillus helveticus subsp. jugurti plasmid pLJ1, complete sequence	pLJ1	Lactobacillus helveticus subsp. jugurti	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	3292	0.353281	NA	NA	NA	NA
NC_001380	NC_001380.1	Streptococcus agalactiae plasmid pLS1, complete sequence	pLS1	Streptococcus agalactiae	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4408	0.372278	NA	MOBV	NA	NA
NC_001381	NC_001381.1	Mycobacterium fortuitum plasmid pAL5000, complete sequence	pAL5000	Mycolicibacterium fortuitum	Mycolicibacterium fortuitum	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	4837	0.649369	NA	NA	NA	NA
NC_001383	NC_001383.1	Stenotrophomonas maltophilia plasmid pNKH43, complete sequence	pNKH43	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1471	0.626785	NA	NA	NA	NA
NC_001384	NC_001384.1	Staphylococcus aureus plasmid pUB110, complete sequence	pUB110	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4548	0.35708	rep22	MOBV	NA	NA
NC_001385	NC_001385.1	Corynebacterium glutamicum plasmid pAM330 DNA, complete sequence	plasmid pAM330	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	Brevibacterium lactofermentum	4448	0.533498	NA	NA	10	NA
NC_001387	NC_001387.1	Streptomyces lividans plasmid pIJ101, complete sequence	pIJ101	Streptomyces lividans	Streptomyces lividans	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	8830	0.729785	NA	NA	NA	NA
NC_001388	NC_001388.1	Clostridium perfringens plasmid pIP404, complete sequence	pIP404	Clostridium perfringens	Clostridium perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	NA	NA	NA	NA	10206	0.249853	NA	NA	NA	NA
NC_001390	NC_001390.1	Staphylococcus epidermidis plasmid pNE131, complete sequence	pNE131	Staphylococcus epidermidis	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2355	0.309979	NA	NA	6	NA
NC_001391	NC_001391.1	Staphylococcus aureus plasmid pNS1, complete sequence	pNS1	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	derived from Staphylococcus aureus plasmid pTP5	3879	0.298788	NA	MOBV	11	NA
NC_001393	NC_001393.1	Staphylococcus aureus plasmid pT181, complete sequence	pT181	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4439	0.300743	rep7	MOBV	11	NA
NC_001395	NC_001395.1	Staphylococcus aureus strain T48 plasmid pT48, complete sequence	pT48	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	2475	0.309091	rep10	NA	6	NA
NC_001399	NC_001399.1	Ralstonia solanacearum M4S plasmid pJTPS1, complete sequence	pJTPS1	Ralstonia solanacearum	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	6633	0.621288	NA	NA	NA	NA
NC_001415	NC_001415.1	Corynebacterium glutamicum strain 22243 R-plasmid pAG1, complete sequence	R-plasmid pAG1	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	19751	0.589793	NA	NA	NA	NA
NC_001425	NC_001425.2	Streptomyces flavovirens plasmid pSN22 DNA, complete sequence	pSN22	Streptomyces flavovirens	Streptomyces flavovirens	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	synonym: Streptomyces nigrifaciens	11046	0.718812	NA	NA	NA	NA
NC_001431	NC_001431.1	Ralstonia pickettii plasmid pMBCP, complete sequence	pMBCP	Ralstonia pickettii	Ralstonia pickettii	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	2241	0.601517	NA	NA	NA	NA
NC_001446	NC_001446.1	Bacillus thuringiensis sv israelensis HI4 plasmid pTX14-3, complete sequence	pTX14-3	Bacillus thuringiensis	Bacillus thuringiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	7649	0.35168	NA	MOBV	12	NC_001446_position:834-1472
NC_001456	NC_001456.1	Corynebacterium glutamicum ATCC 19223 plasmid pSR1, complete sequence	pSR1	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	3054	0.569745	NA	NA	NA	NA
NC_001476	NC_001476.1	Helicobacter pylori plasmid pHPM186, complete sequence	pHPM186	Helicobacter pylori	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	12887	0.359199	NA	NA	NA	NA
NC_001496	NC_001496.1	Bacillus anthracis virulence plasmid PX01, complete sequence	virulence plasmid PX01	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	181654	0.32525	NA	MOBC	13	NA
NC_001537	NC_001537.1	Escherichia coli 29k plasmid pECO29, complete sequence	pECO29	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	3895	0.45905	NA	NA	NA	NA
NC_001597	NC_001597.1	Microcystis aeruginosa plasmid pMA2 DNA, complete sequence	Plasmid pMA2	Microcystis aeruginosa	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales	NA	Cyanobacteria	Bacteria	NA	NA	NA	NA	4993	0.422391	NA	NA	NA	NA
NC_001670	NC_001670.1	Lactobacillus delbrueckii plasmid pWS58, complete sequence	pWS58	Lactobacillus delbrueckii	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	complete sequence of the cryptic plasmid pWS58	7921	0.451332	NA	NA	NA	NA
NC_001705	NC_001705.1	Bacillus cereus plasmid pBC16, complete sequence	pBC16	Bacillus cereus	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4630	0.342117	rep22	MOBV	NA	NA
NC_001735	NC_001735.4	Enterobacter aerogenes plasmid R751, complete sequence	R751	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	broad host range; IncP plasmid	53423	0.641166	IncP1	MOBP	14	NA
NC_001738	NC_001738.1	Streptomyces clavuligerus ATCC 27064 plasmid pSCL, complete sequence	pSCL	Streptomyces clavuligerus ATCC 27064	Streptomyces clavuligerus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	11696	0.719391	NA	NA	NA	NA
NC_001740	NC_001740.1	Escherichia coli plasmid RSF1010, complete sequence	RSF1010	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	8684	0.609627	IncQ1	MOBQ	501	NA
NC_001755	NC_001755.1	Rhodothermus marinus R-21 plasmid pRM21, complete sequence	pRM21	Rhodothermus marinus	Rhodothermus marinus	Rhodothermus	Rhodothermaceae	Bacteroidetes Order II. Incertae sedis	NA	Bacteroidetes	Bacteria	NA	NA	NA	NA	2935	0.581942	NA	NA	NA	NA
NC_001756	NC_001756.1	Helicobacter pylori plasmid pHPM180, complete sequence	pHPM180	Helicobacter pylori	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	3506	0.370222	NA	NA	NA	NA
NC_001757	NC_001757.1	Lactobacillus reuteri 100-23 plasmid pGT232, complete sequence	pGT232	Lactobacillus reuteri 100-23	Lactobacillus reuteri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5113	0.371602	NA	NA	NA	NA
NC_001758	NC_001758.1	Ruminococcus flavefaciens R13e2 cryptic plasmid pBAW301, complete sequence	pBAW301	Ruminococcus flavefaciens	Ruminococcus flavefaciens	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	NA	NA	NA	NA	1768	0.436652	NA	NA	NA	NA
NC_001759	NC_001759.1	Streptomyces phaeochromogenes plasmid pJV1, complete sequence	pJV1	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	11143	0.717222	NA	NA	NA	NA
NC_001760	NC_001760.1	Prevotella ruminicola plasmid pRAM4, complete sequence, ORF1 and ORF2 genes, complete cds	pRAM4	Prevotella ruminicola	Prevotella ruminicola	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	NA	NA	NA	NA	3130	0.491693	NA	NA	NA	NA
NC_001763	NC_001763.1	Staphylococcus aureus plasmid J3358, complete sequence	J3358	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	contains pT181 plasmid flanked by copies of IS257	6024	0.312085	rep7	MOBV|MOBV	11	NA
NC_001764	NC_001764.1	Bacillus subtilis plasmid pTA1040, complete sequence	pTA1040	Bacillus subtilis	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	7837	0.369019	NA	NA	NA	NA
NC_001765	NC_001765.1	Bacillus subtilis plasmid pTA1015, complete sequence	pTA1015	Bacillus subtilis	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	5807	0.406923	NA	MOBV	15	NA
NC_001766	NC_001766.1	Bacillus subtilis plasmid pTA1060, complete sequence	pTA1060	Bacillus subtilis	Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	8737	0.38068	Col(SD853)	MOBV	NA	NA
NC_001767	NC_001767.1	Staphylococcus aureus plasmid pKH6, complete sequence	pKH6	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	4439	0.300969	NA	MOBV	11	NA
NC_001772	NC_001772.1	Clostridium sp. MCF-1 indigenous plasmid, complete sequence	indigenous plasmid	Clostridium sp. MCF-1	Clostridium sp. MCF-1	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	NA	NA	NA	NA	2450	0.392653	NA	NA	NA	NA
NC_001774	NC_001774.1	Pasteurella multocida Pm1096 plasmid pIG1, complete sequence	pIG1	Pasteurella multocida	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	nasal cavity of pig with atrophic rhinitis	Australian type D Pasteurella multocida toxigenic strain	5360	0.474627	NA	NA	530	NC_001774_position:3890-4195
NC_001787	NC_001787.1	Trueperella pyogenes plasmid pAP1, complete sequence	pAP1	Trueperella pyogenes	Trueperella pyogenes	Trueperella	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	2439	0.538335	NA	NA	NA	NA
NC_001791	NC_001791.1	Corynebacterium glutamicum strain 1014 plasmid pXZ10145.1, complete sequence	pXZ10145.1	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	NA	NA	NA	4885	0.596315	NA	NA	NA	NA
NC_001845	NC_001845.1	Zymomonas mobilis ATCC10988 plasmid pZMO1, complete sequence	pZMO1	Zymomonas mobilis subsp. mobilis ATCC 10988	Zymomonas mobilis	Zymomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	1680	0.3875	NA	NA	NA	NA
NC_001848	NC_001848.1	Salmonella enterica enterica sv Berta plasmid pBERT, complete sequence	pBERT	Salmonella enterica subsp. enterica serovar Berta	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	4656	0.524914	NA	NA	16	NA
NC_001849	NC_001849.2	Borrelia burgdorferi B31 plasmid lp17, complete sequence	lp17	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	16821	0.231199	NA	NA	17	NA
NC_001850	NC_001850.1	Borrelia burgdorferi B31 plasmid lp25, complete sequence	lp25	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	24177	0.233445	NA	NA	18	NA
NC_001851	NC_001851.2	Borrelia burgdorferi B31 plasmid lp28-1, complete sequence	lp28-1	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	28155	0.327473	NA	NA	19	NA
NC_001852	NC_001852.1	Borrelia burgdorferi B31 plasmid lp28-2, complete sequence	lp28-2	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	29766	0.316435	NA	NA	20	NA
NC_001853	NC_001853.1	Borrelia burgdorferi B31 plasmid lp28-3, complete sequence	lp28-3	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	28601	0.250411	NA	NA	22	NA
NC_001854	NC_001854.1	Borrelia burgdorferi B31 plasmid lp28-4, complete sequence	lp28-4	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	27323	0.245251	NA	NA	23	NA
NC_001855	NC_001855.1	Borrelia burgdorferi B31 plasmid lp36, complete sequence	lp36	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	36849	0.269288	NA	NA	24	NA
NC_001856	NC_001856.1	Borrelia burgdorferi B31 plasmid lp38, complete sequence	lp38	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	38829	0.260681	NA	NA	25	NA
NC_001857	NC_001857.2	Borrelia burgdorferi B31 plasmid lp54, complete sequence	lp54	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	53657	0.28138	NA	NA	26	NA
NC_001880	NC_001880.1	Aquifex aeolicus VF5 plasmid ece1, complete sequence	ece1	Aquifex aeolicus VF5	Aquifex aeolicus	Aquifex	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	NA	NA	NA	NA	39456	0.364381	NA	NA	NA	NA
NC_001898	NC_001898.1	Tatumella citrea plasmid pUCD5000, complete sequence	pUCD5000	Tatumella morbirosei	Tatumella morbirosei	Tatumella	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	5229	0.490916	NA	NA	NA	NA
NC_001903	NC_001903.1	Borrelia burgdorferi B31 plasmid cp26, complete sequence	cp26	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	26498	0.263001	NA	NA	27	NA
NC_001904	NC_001904.1	Borrelia burgdorferi B31 plasmid cp9, complete sequence	cp9	Borreliella burgdorferi B31	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	NA	NA	NA	NA	9386	0.236949	NA	NA	28	NA
NC_001910	NC_001910.1	Buchnera aphidicola Sg plasmid pLeu-Sg, complete sequence	pLeu-Sg	Buchnera aphidicola (Schizaphis graminum)	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	endosymbiont	7967	0.268106	NA	NA	NA	NA
NC_001911	NC_001911.1	Buchnera aphidicola Dn plasmid pLeu-Dn, complete sequence	pLeu-Dn	Buchnera aphidicola	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	endosymbiont	7768	0.258883	NA	NA	29	NA
NC_001949	NC_001949.1	Lactococcus lactis DPC3147 plasmid pMRC01, complete sequence	pMRC01	Lactococcus lactis	Lactococcus lactis	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	60232	0.301086	NA	MOBQ	NA	NA
NC_001988	NC_001988.2	Clostridium acetobutylicum ATCC 824 plasmid pSOL1, complete sequence	pSOL1	Clostridium acetobutylicum ATCC 824	Clostridium acetobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	NA	NA	NA	studies by P. Soucaille and coworkers (INSA, Toulose) have shown that loss of this plasmid coincides with the loss of the capacity to produce acetone and butanol and that the genes involved in solvent formation reside on pSOL1	192000	0.309115	NA	NA	30	NA
